Word (M/F)                                 POS            LEMMA                    TAG       DEPENDENCY
futé, futée	                             VERB	      futer	                    VERB	      ROOT
fuyard, fuyarde	                         ADJ	       fuyard	                   ADJ	       ROOT
gâcheur, gâcheuse	                       NOUN	      gâcheur	                  NOUN	      ROOT
gagnant, gagnante	                       NOUN	      gagnant	                  NOUN	      ROOT
gallois, galloise	                       NOUN	      gallois	                  NOUN	      ROOT
gamin, gamine	                           ADJ	       gamin	                    ADJ	       ROOT
garant, garante	                         VERB	      garer	                    VERB	      ROOT
gaspilleur, gaspilleuse	                 NOUN	      gaspilleur	               NOUN	      ROOT
gaucher, gauchère	                       VERB	      gaucher	                  VERB	      ROOT
géant, géante	                           ADV	       géant	                    ADV	       ROOT
gendarme, gendarmette	                   ADJ	       gendarm	                  ADJ	       ROOT
général, générale	                       ADJ	       général	                  ADJ	       ROOT
géniteur, génitrice	                     NOUN	      géniteur	                 NOUN	      ROOT
gentil, gentille	                        NOUN	      gentil	                   NOUN	      ROOT
gérant, gérante	                         ADJ	       gérant	                   ADJ	       ROOT
gourmand, gourmande	                     ADJ	       gourmand	                 ADJ	       ROOT
goûteur, goûteuse	                       NOUN	      goûteur	                  NOUN	      ROOT
grammairien, grammairienne	              ADV	       grammairien	              ADV	       ROOT
graveur, graveuse	                       NOUN	      graveur	                  NOUN	      ROOT
grec, grecque	                           PROPN	     grec	                     PROPN	     ROOT
gribouilleur, gribouilleuse	             NOUN	      gribouilleur	             NOUN	      ROOT
grignoteur, grignoteuse	                 NOUN	      grignoteur	               NOUN	      ROOT
grippé, grippée	                         NOUN	      grippé	                   NOUN	      ROOT
gros, grosse	                            ADJ	       gros	                     ADJ	       ROOT
grutier, grutière	                       NOUN	      grutier	                  NOUN	      ROOT
guérisseur, guérisseuse	                 NOUN	      guérisseur	               NOUN	      ROOT
guetteur, guetteuse	                     NOUN	      guetteur	                 NOUN	      ROOT
gueulard, gueularde	                     ADV	       gueulard	                 ADV	       ROOT
guichetier, guichetière	                 ADJ	       guichetier	               ADJ	       ROOT
habitant, habitante	                     VERB	      habiter	                  VERB	      ROOT
habitué, habituée	                       VERB	      habituer	                 VERB	      ROOT
handicapé, handicapée	                   ADJ	       handicapé	                ADJ	       ROOT
héritier, héritière	                     NOUN	      héritier	                 NOUN	      ROOT
héros, héroïne	                          NOUN	      héros	                    NOUN	      ROOT
hétérosexuel, hétérosexuelle	            ADJ	       hétérosexuel	             ADJ	       ROOT
heureux, heureuse	                       ADJ	       heureux	                  ADJ	       ROOT
hollandais, hollandaise	                 NOUN	      hollandais	               NOUN	      ROOT
homosexuel, homosexuelle	                ADJ	       homosexuel	               ADJ	       ROOT
hospitalisé, hospitalisée	               VERB	      hospitaliser	             VERB	      ROOT
hôte, hôtesse	                           NOUN	      hôte	                     NOUN	      ROOT
hôtelier, hôtelière	                     NOUN	      hôtelier	                 NOUN	      ROOT
hypnotiseur, hypnotiseuse	               NOUN	      hypnotiseur	              NOUN	      ROOT
idiot, idiote	                           NOUN	      idiot	                    NOUN	      ROOT
ignorant, ignorante	                     ADV	       ignorant	                 ADV	       ROOT
imaginatif, imaginative	                 ADJ	       imaginatif	               ADJ	       ROOT
imitateur, imitatrice	                   NOUN	      imitateur	                NOUN	      ROOT
immigré, immigrée	                       ADJ	       immigré	                  ADJ	       ROOT
immortel, immortelle	                    DET	       immortel	                 DET	       ROOT
impertinent, impertinente	               ADV	       impertinent	              ADV	       ROOT
importateur, importatrice	               NOUN	      importateur	              NOUN	      ROOT
imprimeur, imprimeuse	                   NOUN	      imprimeur	                NOUN	      ROOT
inconnu, inconnue	                       VERB	      inconnu	                  VERB	      ROOT
inconscient, inconsciente	               ADJ	       inconscient	              ADJ	       ROOT
