abbé_NOM :prêtre_NOM,georges-henri_NAM,biéler_NAM,amédée_NAM,évêque_NOM,maurice_NAM,pelletier-baillargeon_NAM,filleul_NOM,fernand_NAM,léon_NAM,
cambrioleur_NOM :voleur_NOM,meurtrier_NOM,escroc_NOM,mafioso_NOM,play-boy_NOM,clochard_NOM,hacker_NOM,ivrogne_ADJ,prostituée_VER,manipulateur_NOM,

camionneur_NOM :chauffeur_NOM,policier_NOM,automobiliste_NOM,chauffard_NOM,mécanicien_NOM,soldat_NOM,adolescent_NOM,travailleur_NOM,médecin_NOM,employé_NOM,

campagnard_ADJ :andalou_ADJ,vallonné_VER,chalel_NOM,3c.c._ABR,mitais_VER,pisc_ADJ,italo-provençale_ADJ,authentique_ADJ,décontracté_ADJ,5cc_NAM,

campagnarde_ADJ :entaillée_VER,perchée_VER,onctueuse_ADJ,sablonneuse_ADJ,goûteuse_ADJ,luxuriante_ADJ,longe_NOM,provençale_ADJ,rocheuse_ADJ,lardons_NOM,

campeur_NOM :trappeur_NOM,personnel_ADJ,chasseur_NOM,calembour_NOM,olympien_NOM,permanent_ADJ,chronomètre_NOM,étemel_NOM,suaire_NOM,parcours_NOM,

canadien_NOM :tricolore_ADJ,devils_NOM,bruins_NAM,lemenu_NAM,koivu_NAM,lightning_NOM,halak_NAM,flyers_NOM,sabres_NOM,leafs_ADJ,

canadienne_NOM :québécoise_NOM,canadienne_ADJ,montréalaise_NOM,américaine_NOM,presse_VER,ontarienne_NOM,curl_NAM,suédoise_NOM,url_ABR,nadienne_ADJ,

canard_NOM :agneau_NOM,magret_NOM,jambon_NOM,poêlé_VER,rôti_NOM,rôti_VER,braisé_VER,foie_NOM,veau_NOM,pleurotes_NOM,

cane_NOM :cane_VER,celte_NOM,chameo_NAM,canelr_NAM,l-q_NAM,caneir_NAM,centunono_NAM,eerie_NOM,l-q_NOM,116500_NUM,

cancéreux_ADJ :patients_NOM,malades_NOM,asthmatiques_ADJ,diabétiques_ADJ,intestins_NOM,terminale_ADJ,implants_NOM,cardiaques_NOM,sidéens_NOM,rechutes_NOM,

cancéreuse_ADJ :tumeur_NOM,septicémie_NOM,myéline_NOM,malformation_NOM,cirrhose_NOM,maligne_ADJ,pancréas_NOM,caillots_NOM,leucémie_NOM,osseuse_ADJ,

candidat_NOM :candidate_NOM,investiture_NOM,parti_NOM,candidats_NOM,député_NOM,ex-candidat_NOM,candidat-vedette_NOM,chefferie_NOM,démocrate_ADJ,colistier_NOM,

candidate_NOM :candidat_NOM,députée_VER,ex-candidate_NOM,sénatrice_NOM,candidates_NOM,candidats_NOM,cheffe_NOM,libérale_ADJ,vice-présidence_NOM,libérale_NOM,

capricieux_ADJ :incestueux_ADJ,sinueux_ADJ,abrupts_ADJ,insouciant_ADJ,abruptes_ADJ,rusé_ADJ,tordus_VER,embruns_NOM,inhospitalier_ADJ,sablonneux_ADJ,

capricieuse_ADJ :glaciale_ADJ,flamboyante_ADJ,ennuyante_ADJ,névrosée_ADJ,surannée_ADJ,étrange_ADJ,décadente_ADJ,têtue_ADJ,attachante_ADJ,ennuyeuse_ADJ,

cavalier_NOM :cavalier_ADJ,rouler_VER,néon_NOM,millar_NAM,lamaze_NAM,bleu_ADJ,mouvoir_VER,mouton_NOM,demi-dieu_NOM,enfourcher_VER,

cavalière_NOM :berlusconi_NAM,silvio_NAM,haider_NAM,lanoukovitch_NOM,fpô_NAM,wahid_NAM,louchtchenko_ADJ,fpoe_NAM,vojislav_NAM,bundestag_NAM,

champion_NOM :vice-champion_NOM,vainqueur_NOM,ex-champion_NOM,championne_NOM,champions_NOM,recordman_NOM,septuple_ADJ,championnat_NOM,sextuple_ADJ,wbo_NAM,

championne_NOM :médaillée_VER,tenante_NOM,vice-champion_NOM,favorite_NOM,joueuse_NOM,championnats_NOM,gagnante_NOM,felicien_NAM,champion_NOM,friesinger_NAM,

chanteur_NOM :guitariste_NOM,musicien_NOM,chanteuse_NOM,comédien_NOM,batteur_NOM,rappeur_NOM,bassiste_NOM,auteur-compositeur-interprète_NOM,crooner_NOM,compositeur_NOM,

chanteuse_NOM :comédienne_NOM,chanteur_NOM,actrice_NOM,chanson_NOM,danseuse_NOM,choriste_NOM,guitariste_NOM,chanteuses_NOM,romancière_NOM,cantatrice_NOM,

chasseur_NOM :chasseurs_NOM,crocodiles_NOM,tueur_NOM,chasse_NOM,prédateur_NOM,pêcheur_NOM,soldat_NOM,mystères_NOM,pilote_NOM,requin_NOM,

chasseur_NOM :chasseurs_NOM,crocodiles_NOM,tueur_NOM,chasse_NOM,prédateur_NOM,pêcheur_NOM,soldat_NOM,mystères_NOM,pilote_NOM,requin_NOM,

chat_NOM :chien_NOM,lapin_NOM,souris_NOM,pelage_NOM,soulier_NOM,bébé_NOM,singe_NOM,loup_NOM,papa_NOM,cochon_NOM,

chatte_NOM :fille_NOM,poupée_NOM,copine_NOM,voisine_NOM,maman_NOM,belle_NOM,pyjama_NOM,peau_NOM,blonde_NOM,fermière_NOM,

châtelain_ADJ :vincent-guillaume_NAM,chariebois_NAM,marchand_ADJ,locas_NAM,pierre-olivier_NAM,lebeau_NAM,joubert_NAM,louis-olivier_NAM,godin_NOM,gauthier_NAM,

châtelaine_NOM :magazines_NOM,éditrice_NOM,magazine_NOM,rédactrice_NOM,maclean's_NAM,revues_NOM,revue_NOM,chroniqueuse_NOM,ravary_NAM,gazette_NOM,

chauffeur_NOM :policier_NOM,camionneur_NOM,conducteur_NOM,mécanicien_NOM,taxi_NOM,caméraman_NOM,garagiste_NOM,journaliste_NOM,automobiliste_NOM,employé_NOM,

chercheur_NOM :chercheur_ADJ,chercheuse_NOM,professeur_NOM,biologiste_NOM,biochimiste_NOM,politologue_NOM,géologue_NOM,microbiologiste_NOM,neurologue_NOM,physicien_NOM,

